Time,Level,Qual,SNR,DL_bitrate,Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,quality_mapped
18:01:58,-116.0,-17.0,-5.0,2088.0,Baur2Ypgd60,large,0.0215720622,2.2,12iy,2024-03-12,480
18:01:59,-116.0,-17.0,-5.0,1163.0,Baur2Ypgd60,large,0.04030916215,4.0,12iy,2024-03-12,480
18:02:00,-117.0,-17.0,-5.0,1847.0,Baur2Ypgd60,large,0.04623769768,4.6,12iy,2024-03-12,480
18:02:01,-117.0,-17.0,-5.0,1041.0,Baur2Ypgd60,large,0.04623769768,4.6,12iy,2024-03-12,480
18:02:02,-117.0,-16.0,-3.0,1860.0,Baur2Ypgd60,large,0.04623769768,4.6,12iy,2024-03-12,480
18:02:03,-117.0,-16.0,-3.0,1651.0,Baur2Ypgd60,large,0.07300149799,7.3,12iy,2024-03-12,480
18:02:04,-116.0,-18.0,-8.0,1478.0,Baur2Ypgd60,large,0.09882844331,9.9,12iy,2024-03-12,480
18:02:05,-116.0,-18.0,-8.0,1623.0,Baur2Ypgd60,large,0.09882844331,9.9,12iy,2024-03-12,480
18:02:06,-117.0,-18.0,-6.0,1593.0,Baur2Ypgd60,large,0.1081091631,10.8,12iy,2024-03-12,480
18:02:07,-117.0,-18.0,-6.0,1059.0,Baur2Ypgd60,large,0.1081091631,10.8,12iy,2024-03-12,480
18:02:08,-114.0,-18.0,-5.0,1322.0,Baur2Ypgd60,large,0.1081091631,10.8,12iy,2024-03-12,480
18:02:09,-114.0,-18.0,-5.0,835.0,Baur2Ypgd60,large,0.1081091631,10.8,12iy,2024-03-12,480
18:02:10,-118.0,-17.0,-5.0,1993.0,Baur2Ypgd60,large,0.1081091631,10.8,12iy,2024-03-12,480
18:02:11,-118.0,-17.0,-5.0,2272.0,Baur2Ypgd60,hd2160,0.0,0.0,12iy,2024-03-12,2160
18:02:12,-116.0,-16.0,-4.0,1438.0,Baur2Ypgd60,hd2160,0.0,0.0,12iy,2024-03-12,2160
18:02:13,-116.0,-16.0,-4.0,1437.0,Baur2Ypgd60,hd2160,0.0,0.0,12iy,2024-03-12,2160
18:02:15,-114.0,-14.0,0.0,1652.0,Baur2Ypgd60,hd2160,0.0,0.0,12iy,2024-03-12,2160
